                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0657,                   3.08,                 1.2326,                0.59329,                0.46648,                0.49325,                0.38959,                0.75341,                 2.2439,                 1.1549,               0.080419,             0.00039962,             0.00039962
                      2,                0.94048,                 2.1835,                 1.1196,                 0.8085,                0.59545,                0.77327,                0.62696,                0.73556,                 1.3523,                 1.1253,               0.060811,              0.0007917,              0.0007917
                      3,                 0.9114,                 1.7448,                 1.1088,                0.84798,                0.69867,                0.84908,                0.69252,                0.68816,                 1.1053,                 1.0815,               0.041195,              0.0011759,              0.0011759
                      4,                0.85868,                 1.4743,                 1.0584,                0.88417,                0.82413,                0.93684,                0.79845,                0.58992,                 1.0383,                0.99617,               0.021571,              0.0015521,              0.0015521
                      5,                0.83237,                 1.3137,                 1.0417,                0.87523,                0.90049,                0.94469,                0.78859,                0.60789,                0.81361,                 1.0037,              0.0019397,              0.0019204,              0.0019204
                      6,                0.81154,                 1.1503,                 1.0342,                0.91446,                0.93581,                0.96787,                0.80627,                0.60005,                0.71014,                0.99106,               0.001901,               0.001901,               0.001901
                      7,                0.83193,                 1.0791,                 1.0552,                0.95957,                0.94421,                0.98006,                0.81226,                0.62527,                0.66376,                 1.0099,               0.001901,               0.001901,               0.001901
                      8,                0.81898,                 1.0378,                 1.0476,                0.94513,                0.94985,                0.97126,                0.79737,                0.63714,                0.69897,                 1.0365,              0.0018812,              0.0018812,              0.0018812
                      9,                0.78761,                0.98821,                 1.0184,                0.97518,                0.96276,                0.97484,                0.81463,                0.62167,                0.64911,                0.99404,              0.0018614,              0.0018614,              0.0018614
                     10,                0.77832,                0.95248,                 1.0225,                0.98636,                0.95441,                0.98129,                0.84495,                0.54892,                0.55324,                0.95596,              0.0018416,              0.0018416,              0.0018416
                     11,                0.74935,                0.93684,                 1.0125,                0.98013,                0.97635,                0.98479,                 0.8241,                0.59929,                0.56193,                0.97847,              0.0018218,              0.0018218,              0.0018218
                     12,                0.75915,                 0.8789,                 1.0192,                0.98363,                0.97133,                0.98465,                0.83707,                0.58566,                0.59071,                  0.975,               0.001802,               0.001802,               0.001802
                     13,                0.72824,                0.83992,                0.99617,                0.99351,                0.97133,                 0.9841,                0.84166,                0.56363,                 0.5367,                0.95997,              0.0017822,              0.0017822,              0.0017822
                     14,                0.73767,                0.83608,                0.99962,                0.98724,                0.97887,                0.98577,                 0.8566,                0.54142,                0.49842,                0.94811,              0.0017624,              0.0017624,              0.0017624
                     15,                0.70264,                0.80982,                0.98069,                0.95766,                0.98138,                 0.9866,                0.85453,                 0.5374,                0.49682,                0.94676,              0.0017426,              0.0017426,              0.0017426
                     16,                0.72703,                0.80601,                 1.0041,                0.94513,                0.98092,                0.97426,                0.84808,                0.54021,                0.52218,                0.95023,              0.0017228,              0.0017228,              0.0017228
                     17,                0.72887,                0.76792,                  1.005,                0.98565,                0.97497,                0.98313,                0.84917,                0.55073,                0.48066,                0.95171,               0.001703,               0.001703,               0.001703
                     18,                0.71032,                0.79562,                0.99203,                0.97227,                0.98207,                0.98685,                0.85299,                0.54311,                0.46942,                0.94941,              0.0016832,              0.0016832,              0.0016832
                     19,                0.70983,                0.75418,                0.98952,                0.98466,                 0.9785,                0.98549,                0.85914,                0.52042,                0.46047,                 0.9352,              0.0016634,              0.0016634,              0.0016634
                     20,                0.69335,                0.71568,                0.98529,                0.98761,                0.95887,                0.98349,                0.85124,                0.55348,                 0.4883,                0.94892,              0.0016436,              0.0016436,              0.0016436
                     21,                0.69759,                0.71027,                 0.9863,                0.97604,                 0.9818,                0.98623,                0.85691,                0.51671,                 0.4375,                0.93334,              0.0016238,              0.0016238,              0.0016238
